id_estudo,etapa,avaliador_1,decisao_1,motivo_1,avaliador_2,decisao_2,motivo_2,conflito,resolucao_conflito,decisao_final,motivo_final,data_decisao,observacoes
S-A,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
S-B,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
S-C,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
S-D,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
S-E,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
S-F,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
P02A-N01,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
P02A-N02,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
P02A-N03,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
P02A-N04,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
P02A-N05,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
P02A-N06,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
P02A-N07,titulo_resumo,,pendente,,,pendente,,nao,,pendente,,,
